Black Body Radiation Experiment Wed, Mar 6, 2024 2:01 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	-0.00174
0.01015	0.00024
0.03046	0.00136
0.03046	0.00175
0.03046	0.00158
0.03046	0.00099
0.03046	0.00015
0.03046	-0.00124
0.03046	-0.00112
0.04061	-0.00198
0.05076	-0.00171
0.11168	-0.00158
0.17259	-0.00108
0.37563	-0.00045
0.51777	-0.00019
0.56853	-0.00001
0.68020	0.00048
0.70051	0.00089
0.71066	0.00133
0.71066	0.00130
0.72081	0.00152
0.73096	0.00050
0.84264	0.00031
0.95431	0.00030
1.01523	0.00049
1.19797	0.00048
1.28934	-0.00008
1.31980	-0.00033
1.42132	-0.00015
1.49239	0.00044
1.52284	0.00091
1.68528	0.00123
1.76650	0.00094
1.81726	0.00082
1.95939	0.00093
2.04061	0.00097
2.10152	0.00086
2.23350	0.00117
2.33503	-0.00007
2.36548	-0.00074
2.47716	-0.00159
2.54822	-0.00198
2.58883	-0.00178
2.77157	-0.00187
2.91371	-0.00241
2.96447	-0.00218
3.16751	-0.00172
3.32995	-0.00095
3.41117	0.00001
3.64467	0.00084
3.78680	0.00095
3.85787	0.00116
4.04061	0.00085
4.14213	0.00109
4.18274	0.00158
4.29442	0.00124
4.37563	0.00067
4.41624	0.00085
4.52792	0.00100
4.62944	0.00111
4.68020	0.00100
4.85279	0.00086
4.97462	0.00048
5.01523	0.00084
5.20812	0.00106
5.36041	0.00196
5.42132	0.00282
5.62437	0.00337
5.76650	0.00363
5.81726	0.00393
6.02030	0.00314
6.13198	0.00242
6.17259	0.00178
6.25381	0.00029
6.32487	-0.00104
6.36548	-0.00063
6.48731	-0.00046
6.55838	0.00029
6.60914	0.00059
6.76142	0.00108
6.85279	0.00112
6.91371	0.00144
7.10660	0.00145
7.24873	0.00253
7.30964	0.00273
7.45178	0.00247
7.53299	0.00197
7.58376	0.00276
7.74619	0.00293
7.86802	0.00307
7.94924	0.00249
8.10152	0.00212
8.21320	0.00255
8.27411	0.00304
8.42640	0.00390
8.49746	0.00542
8.53807	0.00575
8.67005	0.00628
8.77157	0.00548
8.82234	0.00597
9.05584	0.00521
9.18782	0.00425
9.26904	0.00320
9.48223	0.00286
9.59391	0.00294
9.65482	0.00256
9.80711	0.00282
9.91878	0.00361
9.96954	0.00466
10.07107	0.00543
10.16244	0.00588
10.20305	0.00620
10.30457	0.00584
10.39594	0.00606
10.44670	0.00597
10.60914	0.00564
10.74112	0.00524
10.80203	0.00484
10.96447	0.00432
11.04569	0.00514
11.08629	0.00645
11.23858	0.00677
11.31980	0.00752
11.35025	0.00717
11.46193	0.00773
11.54315	0.00853
11.57360	0.00858
11.74619	0.00871
11.84772	0.00890
11.88832	0.00844
12.04061	0.00815
12.14213	0.00905
12.19289	0.00958
12.33503	0.01000
12.42640	0.01050
12.45685	0.01022
12.56853	0.01009
12.61929	0.01065
12.63959	0.01085
12.75127	0.01123
12.84264	0.01105
12.87310	0.01049
13.02538	0.01013
13.12690	0.01055
13.17766	0.01086
13.31980	0.01158
13.42132	0.01113
13.46193	0.01162
13.59391	0.01170
13.66497	0.01275
13.69543	0.01413
13.84772	0.01498
13.92893	0.01586
13.95939	0.01731
14.10152	0.01760
14.16244	0.01877
14.18274	0.01932
14.27411	0.01928
14.32487	0.01831
14.35533	0.01901
14.44670	0.01898
14.50761	0.01961
14.51777	0.02044
14.61929	0.02094
14.65990	0.02192
14.67005	0.02277
14.72081	0.02333
14.74112	0.02462
14.74112	0.02449
14.77157	0.02415
14.83249	0.02403
14.90355	0.02449
