Black Body Radiation Experiment Wed, Mar 20, 2024 2:22 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	-0.00259
0.01033	0.00027
0.01033	0.00181
0.01033	0.00228
0.01033	0.00194
0.01033	0.00104
0.01033	-0.00017
0.01033	-0.00112
0.01033	-0.00180
0.01033	-0.00166
0.02067	-0.00160
0.02067	-0.00167
0.02067	-0.00152
0.02067	-0.00199
0.02067	-0.00315
0.02067	-0.00383
0.02067	-0.00380
0.02067	-0.00333
0.02067	-0.00360
0.03100	-0.00357
0.03100	-0.00322
0.03100	-0.00174
0.03100	-0.00155
0.04133	-0.00193
0.04133	-0.00233
0.04133	-0.00243
0.05167	-0.00242
0.05167	-0.00184
0.07233	-0.00161
0.09300	0.00049
0.18599	0.00072
0.24799	0.00073
0.26866	0.00182
0.32032	0.00102
0.35132	-0.00010
0.35132	-0.00087
0.40299	-0.00143
0.47532	-0.00174
0.54765	-0.00054
0.57865	-0.00051
0.70264	0.00001
0.81631	0.00030
0.87831	0.00082
1.03330	0.00085
1.13663	0.00046
1.20896	-0.00134
1.49829	-0.00169
1.68428	-0.00232
1.74628	-0.00113
1.95294	-0.00055
2.05627	0.00064
2.10793	-0.00007
2.26293	0.00001
2.37659	0.00032
2.40759	0.00056
2.54192	-0.00023
2.63492	0.00021
2.68658	-0.00032
2.83125	0.00038
2.96557	0.00087
3.00691	0.00244
3.24457	0.00169
3.39956	0.00143
3.46156	0.00048
3.62689	-0.00076
3.75088	-0.00063
3.82321	-0.00112
4.04021	-0.00079
4.15387	0.00033
4.22620	0.00008
4.36053	0.00104
4.46386	0.00117
4.51553	0.00244
4.84618	0.00273
5.06318	0.00233
5.14584	0.00171
5.39383	0.00064
5.54883	-0.00079
5.61083	-0.00117
5.82782	-0.00177
5.98281	-0.00198
6.04481	-0.00257
6.15848	-0.00214
6.26181	-0.00099
6.29280	0.00037
6.40647	0.00164
6.48913	0.00159
6.55113	0.00216
6.72679	0.00256
6.85079	0.00099
6.88179	0.00064
7.09878	0.00088
7.26411	0.00103
7.34677	0.00071
7.57410	0.00174
7.73943	0.00289
7.84276	0.00264
8.15275	0.00278
8.40074	0.00159
8.59707	0.00140
8.88639	0.00148
9.08272	0.00119
9.16538	0.00118
9.42371	0.00235
9.54770	0.00174
9.64070	0.00218
9.79570	0.00342
9.87836	0.00367
9.94036	0.00295
10.15735	0.00283
10.28135	0.00221
10.35368	0.00184
10.48801	0.00168
10.63267	0.00213
10.70500	0.00292
10.83933	0.00331
10.98399	0.00287
11.05632	0.00463
11.27332	0.00558
11.39731	0.00566
11.43864	0.00427
11.67630	0.00454
11.77963	0.00374
11.82097	0.00331
11.94496	0.00292
12.03796	0.00238
12.06896	0.00212
12.17229	0.00167
12.22395	0.00136
12.25495	0.00293
12.33762	0.00320
12.42028	0.00294
12.46161	0.00130
12.58561	0.00156
12.67861	0.00179
12.69927	0.00348
12.79227	0.00354
12.89560	0.00351
12.93693	0.00201
13.07126	0.00193
13.17459	0.00169
13.20559	0.00290
13.31925	0.00271
13.36058	0.00275
13.41225	0.00182
13.52591	0.00156
13.56725	0.00192
13.60858	0.00251
13.72224	0.00281
13.81524	0.00287
13.83590	0.00288
13.90823	0.00325
14.00123	0.00371
14.02190	0.00339
14.08390	0.00292
14.12523	0.00327
14.15623	0.00287
14.24922	0.00282
14.33189	0.00241
14.39389	0.00291
14.54888	0.00363
14.63155	0.00313
14.66254	0.00398
14.85887	0.00368
14.96220	0.00347
14.99320	0.00190
15.13786	0.00066
15.18953	0.00052
15.22053	-0.00002
15.25153	0.00007
15.28253	0.00055
15.36519	0.00184
15.42719	0.00270
15.53052	0.00292
15.58218	0.00385
15.58218	0.00386
15.58218	0.00360
15.60285	0.00230
15.65451	0.00112
15.77851	0.00102
15.87151	0.00014
15.91284	0.00009
16.05750	0.00085
16.15050	0.00076
16.21250	0.00148
16.35716	0.00127
16.45016	0.00025
16.48115	-0.00015
16.63615	-0.00011
16.71881	-0.00039
16.74981	0.00047
16.90481	0.00101
17.00814	0.00238
17.03914	0.00345
17.15280	0.00477
17.23546	0.00576
17.27680	0.00646
17.34913	0.00610
17.42146	0.00501
17.43179	0.00437
17.50412	0.00291
17.53512	0.00121
17.54545	0.00063
17.56612	-0.00025
17.57645	-0.00070
17.58679	-0.00124
17.60745	-0.00056
17.64879	0.00029
17.66945	0.00072
17.70045	0.00136
17.74178	0.00221
17.77278	0.00291
17.78311	0.00233
17.79345	0.00230
17.79345	0.00263
17.81411	0.00253
17.83478	0.00191
17.84511	0.00198
17.91744	0.00253
17.93811	0.00209
17.95878	0.00218
18.00011	0.00176
18.01044	0.00181
18.06211	0.00151
18.11377	0.00027
18.14477	-0.00031
18.17577	-0.00046
18.18610	0.00035
18.20677	-0.00006
18.29976	-0.00016
18.35143	0.00158
18.37210	0.00110
18.45476	0.00129
18.49609	0.00114
18.50643	0.00104
18.51676	0.00048
18.52709	-0.00075
18.55809	-0.00100
18.65109	-0.00065
18.72342	0.00101
18.74408	0.00096
18.79575	0.00163
18.84741	0.00164
18.87841	0.00138
18.94041	0.00126
18.94041	0.00145
18.95074	0.00093
19.02308	0.00094
19.07474	0.00072
19.15740	0.00132
19.24007	0.00190
19.30207	0.00238
19.34340	0.00260
19.50873	0.00200
19.58106	0.00114
19.62239	0.00180
19.74639	0.00252
19.77739	0.00251
19.80838	0.00242
19.86005	0.00333
19.91171	0.00394
19.92205	0.00500
19.99438	0.00558
20.06671	0.00602
20.10804	0.00692
20.18037	0.00756
20.23204	0.00853
20.25270	0.00904
20.33537	0.01025
20.37670	0.00970
20.38703	0.00971
20.38703	0.01052
20.38703	0.01143
20.38703	0.01174
20.38703	0.01139
20.38703	0.01166
20.38703	0.01245
20.38703	0.01241
20.38703	0.01161
20.39737	0.01187
20.40770	0.01190
20.44903	0.01177
20.46970	0.01223
20.56269	0.01348
20.60403	0.01466
20.62469	0.01443
20.65569	0.01526
20.67636	0.01612
20.68669	0.01730
20.70736	0.01741
20.72802	0.01746
20.75902	0.01883
20.81069	0.01931
20.84169	0.01986
20.88302	0.02040
20.96568	0.02133
21.01735	0.02278
21.02768	0.02362
21.14134	0.02420
21.16201	0.02548
21.17234	0.02612
21.22401	0.02722
21.28601	0.02905
21.32734	0.03220
21.37900	0.03345
21.38934	0.03514
21.38934	0.03734
21.45133	0.03936
21.50300	0.04201
21.51333	0.04490
21.56500	0.04590
21.61666	0.04818
21.63733	0.04965
21.65799	0.05198
21.66833	0.05410
21.66833	0.05603
21.70966	0.05640
21.77166	0.05832
21.82332	0.06084
21.86465	0.06250
21.94732	0.06567
22.01965	0.06980
22.04032	0.07440
22.17464	0.08114
22.26764	0.08983
22.33997	0.10114
22.48463	0.11232
22.55697	0.12497
22.61896	0.14007
22.71196	0.15464
22.75329	0.17057
22.80496	0.18803
22.89796	0.20410
22.95995	0.22062
22.97029	0.23796
23.05295	0.25452
23.06328	0.26961
23.06328	0.28421
23.09428	0.29766
23.11495	0.30766
23.12528	0.31928
23.14595	0.33003
23.22861	0.34107
23.26994	0.35481
23.28028	0.36748
23.36294	0.38167
23.41461	0.39919
23.43527	0.41825
23.54894	0.43727
23.56960	0.45858
23.65227	0.48039
23.73493	0.49740
23.76593	0.51603
23.79693	0.53404
23.87959	0.54699
23.88992	0.55891
23.90026	0.56871
23.98292	0.57507
24.01392	0.58143
24.02425	0.58480
24.09658	0.58741
24.16892	0.58690
24.21025	0.58410
24.32391	0.57699
24.39624	0.56776
24.41691	0.55410
24.50991	0.53700
24.57190	0.51731
24.63390	0.49765
24.68557	0.47622
24.71657	0.45574
24.72690	0.43554
24.76823	0.41785
24.79923	0.40061
24.81990	0.38513
24.84056	0.37169
24.87156	0.35877
24.91289	0.34587
24.94389	0.33407
24.97489	0.32196
24.98522	0.30963
25.05755	0.29924
25.11955	0.28798
25.14022	0.27424
25.22288	0.26171
25.27455	0.24841
25.31588	0.23488
25.40888	0.22326
25.43988	0.21111
25.46054	0.19850
25.50187	0.18671
25.54321	0.17569
25.57421	0.16542
25.64654	0.15767
25.67754	0.14780
25.69820	0.13735
25.73953	0.12964
25.78087	0.12116
25.79120	0.11499
25.86353	0.10897
25.92553	0.10302
25.93586	0.09539
25.96686	0.09023
26.00819	0.08512
26.02886	0.08188
26.09086	0.07800
26.10119	0.07335
26.11152	0.06871
26.16319	0.06396
26.20452	0.06034
26.20452	0.05732
26.25618	0.05532
26.27685	0.05249
26.30785	0.04921
26.31818	0.04623
26.40085	0.04427
26.45251	0.04268
26.47318	0.04138
26.52484	0.03910
26.55584	0.03729
26.57651	0.03415
26.62817	0.03213
26.65917	0.02903
26.67984	0.02807
26.74184	0.02548
26.76250	0.02399
26.82450	0.02193
26.84517	0.02120
26.85550	0.01891
26.86583	0.01854
26.88650	0.01706
26.89683	0.01764
26.92783	0.01735
26.94850	0.01672
26.96916	0.01569
27.05183	0.01514
27.13449	0.01501
27.17582	0.01501
27.25849	0.01465
27.29982	0.01402
27.33082	0.01306
27.39282	0.01267
27.43415	0.01276
27.44448	0.01335
27.48581	0.01341
27.51681	0.01195
27.59948	0.01077
27.65114	0.00998
27.68214	0.01039
27.74414	0.00953
27.77514	0.00880
27.78547	0.00809
27.79580	0.00751
27.80614	0.00665
27.80614	0.00753
27.84747	0.00808
27.87847	0.00846
27.90947	0.00830
27.91980	0.00929
28.02313	0.00939
28.09546	0.01057
28.13679	0.00974
28.20912	0.00863
28.25046	0.00721
28.26079	0.00720
28.31245	0.00746
28.35379	0.00754
28.36412	0.00805
28.40545	0.00789
28.43645	0.00805
28.44678	0.00768
28.52945	0.00703
28.59145	0.00740
28.62244	0.00725
28.68444	0.00719
28.73611	0.00774
28.77744	0.00775
28.87044	0.00805
28.90144	0.00782
28.91177	0.00782
28.91177	0.00787
28.91177	0.00788
28.92210	0.00834
28.95310	0.00878
29.03576	0.00892
29.09776	0.00872
29.23209	0.00816
29.26309	0.00811
29.27342	0.00642
29.37675	0.00680
29.44909	0.00593
29.48008	0.00555
29.59375	0.00612
29.66608	0.00701
29.69708	0.00760
29.79007	0.00747
29.86241	0.00740
29.97607	0.00779
30.03807	0.00861
30.05873	0.00940
30.11040	0.00940
30.16206	0.00916
30.20340	0.00839
30.21373	0.00792
30.22406	0.00806
30.27573	0.00768
30.29639	0.00691
30.35839	0.00639
30.39972	0.00669
30.41006	0.00792
30.45139	0.00806
30.46172	0.00755
30.46172	0.00750
30.46172	0.00719
30.46172	0.00742
30.46172	0.00645
30.47205	0.00729
30.51339	0.00704
30.56505	0.00679
30.59605	0.00655
30.62705	0.00648
30.62705	0.00645
30.63738	0.00510
30.65805	0.00377
30.67871	0.00329
30.67871	0.00329
30.67871	0.00320
30.67871	0.00315
30.69938	0.00435
30.74071	0.00418
30.80271	0.00493
30.82338	0.00450
30.93704	0.00365
31.03004	0.00433
31.07137	0.00411
31.16437	0.00379
31.21603	0.00328
31.21603	0.00425
31.27803	0.00501
31.30903	0.00583
31.34003	0.00704
31.38136	0.00745
31.45369	0.00787
31.51569	0.00753
31.54669	0.00692
31.56735	0.00717
31.58802	0.00686
31.60868	0.00677
31.67068	0.00752
31.70168	0.00742
31.72235	0.00779
31.78435	0.00730
31.83601	0.00716
31.84634	0.00599
31.85668	0.00527
31.85668	0.00535
31.85668	0.00364
31.88768	0.00360
31.90834	0.00381
31.93934	0.00383
31.94967	0.00415
32.04267	0.00303
32.11500	0.00309
32.16667	0.00195
32.32166	0.00091
32.38366	0.00000
32.41466	0.00017
32.53866	0.00044
32.63165	0.00083
32.68332	0.00183
32.80731	0.00225
32.90031	0.00232
32.96231	0.00315
33.10697	0.00298
33.22063	0.00211
33.27230	0.00195
33.43763	0.00130
33.57196	0.00056
33.63396	0.00065
33.79928	0.00121
33.90261	0.00152
33.93361	0.00130
34.06794	0.00235
34.16094	0.00257
34.37793	0.00291
34.50193	0.00271
34.55359	0.00182
34.67759	0.00235
34.76025	0.00185
34.83258	0.00162
35.01858	0.00239
35.14257	0.00307
35.22524	0.00224
35.34924	0.00267
35.43190	0.00303
35.57656	0.00202
35.67989	0.00209
35.81422	0.00212
35.89688	0.00194
35.93822	0.00142
36.06221	0.00138
36.10355	0.00273
36.13454	0.00385
36.26887	0.00447
36.38254	0.00467
36.42387	0.00598
36.50653	0.00568
36.56853	0.00453
36.60986	0.00478
36.76486	0.00471
36.86819	0.00411
36.93019	0.00321
37.07485	0.00279
37.21951	0.00335
37.45717	0.00308
37.60183	0.00275
37.68450	0.00298
37.90149	0.00406
38.10815	0.00421
38.21148	0.00400
38.46980	0.00487
38.68680	0.00499
38.83146	0.00418
39.25511	0.00392
39.55477	0.00305
39.72010	0.00204
40.11275	0.00131
40.34008	0.00009
40.48474	0.00109
40.94973	0.00225
41.27005	0.00372
41.42505	0.00420
41.93136	0.00452
42.30335	0.00422
42.97500	0.00451
43.48132	0.00604
43.77064	0.00607
44.71094	0.00574
45.57892	0.00544
46.86021	0.00484
47.80051	0.00500
48.25517	0.00446
49.79479	0.00512
50.98308	0.00434
53.08068	0.00509
54.66164	0.00549
55.38495	0.00712
57.70987	0.00931
59.30116	0.01014
62.00841	0.01009
63.76502	0.01000
64.60199	0.01105
67.09225	0.01116
68.61120	0.01157
71.13246	0.01327
72.87874	0.01642
75.66865	0.01949
77.80758	0.02065
80.79382	0.02308
82.62277	0.02459
84.71004	0.02559
85.93966	0.02600
88.01660	0.02571
89.33922	0.02464
90.07287	0.02270
