Black Body Radiation Experiment Wed, Mar 6, 2024 1:59 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.38249
0.00000	-0.38522
0.00000	-0.38442
0.00000	-0.38281
0.00000	-0.38088
0.00000	-0.38055
0.00000	-0.38007
0.00000	-0.38313
0.00000	-0.38152
0.00000	-0.38136
0.00000	-0.38393
0.00000	-0.38281
0.00000	-0.38265
0.00000	-0.38860
0.00000	-0.38184
0.00000	-0.38361
0.00000	-0.38506
0.00000	-0.38748
0.00000	-0.38313
0.00000	-0.38570
0.00000	-0.38055
0.00000	-0.38361
0.00000	-0.37975
0.00000	-0.38152
0.00000	-0.38265
0.00000	-0.38023
0.00000	-0.37927
0.00000	-0.38184
0.00000	-0.38442
0.00000	-0.38104
0.00000	-0.37750
0.00000	-0.37653
0.00000	-0.38007
0.00000	-0.38860
0.00000	-0.38345
0.00000	-0.38071
0.00000	-0.38007
0.00000	-0.38554
0.00000	-0.37911
0.00000	-0.38200
0.00000	-0.37894
0.00000	-0.37975
0.00000	-0.38442
0.00000	-0.38088
0.00000	-0.37782
0.00000	-0.37605
0.00000	-0.37862
0.00000	-0.37959
0.01015	-0.38281
0.01015	-0.38409
0.02030	-0.38200
0.03046	-0.37911
0.05076	-0.38345
0.13198	-0.38120
0.22335	-0.38570
0.41624	-0.37991
0.53807	-0.38039
0.58883	-0.38023
0.71066	-0.37766
0.75127	-0.37733
0.77157	-0.37814
0.83249	-0.37669
0.86294	-0.38249
0.87310	-0.38361
0.94416	-0.38361
1.02538	-0.37685
1.07614	-0.38071
1.16751	-0.37862
1.25888	-0.37894
1.28934	-0.38023
1.44162	-0.37911
1.53299	-0.37911
1.56345	-0.37943
1.70558	-0.37492
1.80711	-0.37927
1.86802	-0.37814
2.14213	-0.37363
2.30457	-0.37492
2.37563	-0.37669
2.57868	-0.38184
2.68020	-0.37524
2.79188	-0.37927
2.87310	-0.37363
3.01523	-0.37621
3.11675	-0.37444
3.30964	-0.37218
3.45178	-0.37653
3.72589	-0.37234
3.89848	-0.38007
4.20305	-0.37814
4.38579	-0.37379
4.55838	-0.37637
4.68020	-0.37251
4.83249	-0.36864
4.94416	-0.37202
5.13706	-0.37170
5.24873	-0.37234
5.41117	-0.37138
5.51269	-0.37138
5.67513	-0.37331
5.77665	-0.37122
5.92893	-0.37186
6.02030	-0.36703
6.18274	-0.37074
6.26396	-0.36832
6.48731	-0.36816
6.58883	-0.37444
6.78173	-0.36977
6.89340	-0.37009
7.05584	-0.36687
