voltage (V)	current (A)	current uncert	big peak angle +- 0.2 deg	big peak angle min	big peak angle max	area (V*deg) (15-30 deg)	area min (17.5-27.5)	area max (12.5-32.5)																	
4	0.371	0.003	22.61929			2.2728	2.1904	2.3365																	
4.5	0.397	0.004	22.54822			2.6751	2.6462	2.7047																	
5	0.421	0.004	22.27411			3.6354	3.5685	3.6897																	
5.5	0.447	0.003	22.19289			4.2458	4.1967	4.2895																	
6	0.468	0.003	22.14213			5.4044	5.3211	5.4723																	
6.5	0.491	0.003	22.11168			6.1775	6.1261	6.2042																	
7	0.511	0.004	22.09137			6.4364	6.3161	6.5102																	
7.5	0.53	0.004	22.05076			7.5684	7.4295	7.6697																	
8	0.549	0.004	22.05076			8.4951	8.3588	8.5821																	
8.5	0.568	0.004	21.9797			9.5686	9.4453	9.6219																	
9	0.588	0.003	21.95939			10.7646	10.5996	10.8429																	
9.5	0.605	0.004	21.88832			11.5775	11.4047	11.645																	
10	0.623	0.004	21.81726			12.8277	12.6051	12.9102																	
